,StockCode,date,price
320,600109.SH,20200522,9.65
321,002142.SZ,20200508,26.23
322,002236.SZ,20200508,17.36
323,600085.SH,20200512,25.26
324,000100.SZ,20200512,4.83
325,600196.SH,20200508,33.44
326,600276.SH,20200508,97.05
327,000166.SZ,20200508,4.48
328,600369.SH,20200508,4.62
329,300347.SZ,20200508,77.8
330,000001.SZ,20200514,13.3
331,000415.SZ,20200514,2.77
332,601166.SH,20200514,16.02
333,601229.SH,20200514,8.03
334,601236.SH,20200514,21.39
335,601318.SH,20200514,72.23
336,300408.SZ,20200520,20.84
337,300433.SZ,20200520,17.19
338,002422.SZ,20200519,20.36
339,002456.SZ,20200520,15.39
340,002475.SZ,20200520,46.21
341,600566.SH,20200515,21.96
342,600999.SH,20200519,17.45
343,600036.SH,20200520,34.68
344,600809.SH,20200520,120.11
345,600816.SH,20200520,2.5
346,000413.SZ,20200520,2.78
347,002252.SZ,20200520,8.57
348,601901.SH,20200515,7.14
349,002673.SZ,20200515,8.03
350,002142.SZ,20200518,24.8
351,002252.SZ,20200515,8.53
352,600519.SH,20200518,1346.21
353,600703.SH,20200518,23.65
354,603160.SH,20200515,240.36
355,600837.SH,20200518,12.42
356,002236.SZ,20200522,16.15
357,002007.SZ,20200522,41.16
358,002044.SZ,20200522,12.11
359,601997.SH,20200522,7.59
360,000001.SZ,20200521,13.4
361,000415.SZ,20200521,3.05
362,000568.SZ,20200521,87.63
363,000596.SZ,20200521,155.71
364,601066.SH,20200521,33.53
365,600703.SH,20200521,25.65
366,300015.SZ,20200521,48.88
367,300142.SZ,20200521,42.89
368,000895.SZ,20200520,40.6
369,601901.SH,20200520,7.08
370,601939.SH,20200521,6.43
371,603288.SH,20200528,113.66
372,600183.SH,20200528,27.45
373,601555.SH,20200528,7.55
374,000423.SZ,20200528,36.11
375,000538.SZ,20200528,86.81
376,000725.SZ,20200528,3.7
377,002456.SZ,20200528,14.34
378,002475.SZ,20200528,44.45
379,603259.SH,20200528,102.68
380,002236.SZ,20200529,14.88
381,002252.SZ,20200529,8.21
382,000568.SZ,20200529,85.3
383,600183.SH,20200529,26.8
384,601198.SH,20200526,10.38
385,601066.SH,20200525,31.67
386,002044.SZ,20200525,12.04
387,601939.SH,20200525,6.33
388,600566.SH,20200526,21.78
389,601939.SH,20200526,6.34
390,601818.SH,20200527,3.79
391,002673.SZ,20200527,7.83
392,300015.SZ,20200525,48.71
393,300142.SZ,20200525,42.5
394,600837.SH,20200525,11.61
395,600928.SH,20200525,5.22
396,600867.SH,20200527,16.6
397,603986.SH,20200514,214.73
398,002304.SZ,20200514,97.85
399,002673.SZ,20200514,8.03
400,000728.SZ,20200508,8.33
401,601009.SH,20200512,7.66
402,601108.SH,20200512,9.67
403,002001.SZ,20200508,27.08
404,603156.SH,20200514,28.9
405,002939.SZ,20200514,12.12
406,601901.SH,20200514,7.13
407,000568.SZ,20200514,87.8
408,002007.SZ,20200519,40.5
409,002044.SZ,20200519,12.7
410,600998.SH,20200519,17.41
411,600015.SH,20200515,6.4
412,600030.SH,20200515,23.44
413,600015.SH,20200519,6.43
414,600030.SH,20200519,23.21
415,601318.SH,20200519,72.9
416,600036.SH,20200519,34.27
417,600183.SH,20200518,29.44
418,002958.SZ,20200519,4.31
419,601138.SH,20200515,13.79
420,601211.SH,20200515,16.1
421,601319.SH,20200515,6.24
422,601166.SH,20200518,16.03
423,601229.SH,20200518,8.03
424,601236.SH,20200518,21.8
425,601318.SH,20200518,72.2
426,000166.SZ,20200518,4.46
427,000728.SZ,20200518,7.94
428,300347.SZ,20200515,81.25
429,600036.SH,20200518,33.8
430,002422.SZ,20200522,20.14
431,600535.SH,20200522,14.1
432,000568.SZ,20200522,84.08
433,000596.SZ,20200522,152.49
434,603501.SH,20200521,186.7
435,600436.SH,20200521,145.4
436,603160.SH,20200522,218.79
437,300347.SZ,20200522,79.4
438,000895.SZ,20200521,39.92
439,600837.SH,20200515,12.52
440,002241.SZ,20200515,21.16
441,600809.SH,20200521,121.95
442,600816.SH,20200521,2.5
443,601138.SH,20200521,13.6
444,601211.SH,20200521,15.97
445,600196.SH,20200521,33.01
446,600332.SH,20200520,30.98
447,000415.SZ,20200528,3.06
448,000568.SZ,20200528,84.0
449,000596.SZ,20200528,147.88
450,002252.SZ,20200528,8.02
451,601788.SH,20200528,10.96
452,601838.SH,20200528,7.96
453,601988.SH,20200528,3.47
454,002773.SZ,20200528,35.1
455,300015.SZ,20200528,37.65
456,300347.SZ,20200528,81.73
457,600030.SH,20200529,22.27
458,000596.SZ,20200529,149.76
459,000627.SZ,20200529,4.89
460,601066.SH,20200529,31.98
461,601939.SH,20200529,6.37
462,601288.SH,20200526,3.38
463,601328.SH,20200526,5.08
464,000423.SZ,20200526,36.19
465,000538.SZ,20200526,88.05
466,000725.SZ,20200526,3.77
467,600036.SH,20200526,33.43
468,601066.SH,20200526,32.3
469,000001.SZ,20200526,13.04
470,601166.SH,20200526,15.86
471,002411.SZ,20200526,7.14
472,002415.SZ,20200526,28.38
473,002939.SZ,20200513,12.35
474,000627.SZ,20200512,5.54
475,000661.SZ,20200512,627.0
476,002958.SZ,20200514,4.4
477,300003.SZ,20200514,39.98
478,300136.SZ,20200514,44.04
479,300122.SZ,20200514,81.92
480,300408.SZ,20200514,21.22
481,600036.SH,20200508,34.97
482,600436.SH,20200512,148.24
483,600999.SH,20200514,17.49
484,601162.SH,20200514,6.0
485,600837.SH,20200512,12.74
486,002241.SZ,20200512,21.34
487,601169.SH,20200512,4.91
488,002411.SZ,20200512,8.04
489,002415.SZ,20200512,32.16
490,601336.SH,20200512,45.6
491,601377.SH,20200512,5.99
492,601398.SH,20200512,5.13
493,600015.SH,20200514,6.4
494,600030.SH,20200514,23.44
495,300347.SZ,20200514,81.98
496,601878.SH,20200514,9.93
497,601066.SH,20200514,34.51
498,601198.SH,20200519,10.78
499,000423.SZ,20200519,32.79
500,000538.SZ,20200519,87.62
501,601288.SH,20200519,3.4
502,601328.SH,20200519,5.14
503,601997.SH,20200519,7.78
504,601009.SH,20200519,7.67
505,601108.SH,20200519,9.5
506,000413.SZ,20200515,2.85
507,601901.SH,20200519,7.11
508,000596.SZ,20200519,154.95
509,601138.SH,20200519,13.78
510,601211.SH,20200519,16.15
511,000413.SZ,20200519,2.74
512,601939.SH,20200519,6.39
513,600535.SH,20200518,14.41
514,300003.SZ,20200519,40.39
515,601818.SH,20200515,3.64
516,600061.SH,20200515,12.11
517,002008.SZ,20200518,30.87
518,002241.SZ,20200518,19.29
519,600436.SH,20200519,149.41
520,300347.SZ,20200518,83.85
521,000001.SZ,20200522,12.92
522,603986.SH,20200521,215.0
523,000100.SZ,20200521,5.12
524,603288.SH,20200522,113.32
525,300408.SZ,20200522,19.46
526,300433.SZ,20200522,16.35
527,601688.SH,20200515,17.75
528,601998.SH,20200515,5.08
529,603156.SH,20200515,28.68
530,601555.SH,20200515,7.72
531,601788.SH,20200515,11.05
532,601838.SH,20200515,7.74
533,601988.SH,20200515,3.45
534,002422.SZ,20200520,20.04
535,600928.SH,20200515,5.29
536,601319.SH,20200521,6.23
537,000728.SZ,20200521,8.14
538,002008.SZ,20200521,30.37
539,000415.SZ,20200520,3.01
540,600705.SH,20200520,3.88
541,600887.SH,20200521,28.58
542,600919.SH,20200521,5.94
543,600926.SH,20200521,8.87
544,600958.SH,20200521,9.23
545,600998.SH,20200521,17.11
546,601198.SH,20200521,10.47
547,000895.SZ,20200528,40.2
548,002142.SZ,20200528,25.84
549,600036.SH,20200528,34.22
550,300142.SZ,20200528,41.66
551,601009.SH,20200528,7.92
552,601108.SH,20200528,9.92
553,601169.SH,20200528,4.9
554,601336.SH,20200528,43.96
555,601377.SH,20200528,5.69
556,601398.SH,20200528,5.17
557,601878.SH,20200528,9.87
558,600436.SH,20200529,146.72
559,000661.SZ,20200529,666.0
560,002044.SZ,20200529,11.75
561,601988.SH,20200529,3.45
562,300408.SZ,20200529,19.89
563,300433.SZ,20200529,16.3
564,601138.SH,20200529,13.41
565,601211.SH,20200529,15.67
566,601319.SH,20200529,6.21
567,600196.SH,20200529,30.75
568,601997.SH,20200526,7.64
569,603160.SH,20200526,217.3
570,002304.SZ,20200529,105.51
571,600015.SH,20200526,6.33
572,601939.SH,20200527,6.37
573,002007.SZ,20200527,41.78
574,002044.SZ,20200527,11.94
575,601901.SH,20200527,6.89
576,000895.SZ,20200527,40.15
577,002142.SZ,20200527,24.96
578,601988.SH,20200525,3.44
579,603288.SH,20200526,116.41
580,000415.SZ,20200526,2.99
581,000568.SZ,20200526,85.35
582,000596.SZ,20200526,152.2
583,601901.SH,20200526,6.96
584,002142.SZ,20200513,25.41
585,000776.SZ,20200512,13.69
586,300433.SZ,20200514,18.52
587,600061.SH,20200514,12.19
588,600390.SH,20200508,7.34
589,002252.SZ,20200508,8.5
590,600196.SH,20200514,32.35
591,600276.SH,20200514,97.2
592,600369.SH,20200514,4.48
593,600928.SH,20200512,5.39
594,300142.SZ,20200508,42.59
595,000627.SZ,20200514,5.46
596,000661.SZ,20200514,643.0
597,000776.SZ,20200514,13.51
598,000963.SZ,20200514,21.32
599,601939.SH,20200514,6.32
600,000783.SZ,20200521,6.29
601,000858.SZ,20200521,151.68
602,603160.SH,20200519,227.3
603,000725.SZ,20200519,3.85
604,002938.SZ,20200515,41.88
605,600016.SH,20200519,5.8
606,000895.SZ,20200519,40.49
607,601319.SH,20200519,6.31
608,601818.SH,20200519,3.71
609,002945.SZ,20200515,14.18
610,000166.SZ,20200515,4.46
611,600276.SH,20200515,94.83
612,600183.SH,20200515,31.99
613,002001.SZ,20200515,25.87
614,600837.SH,20200519,12.47
615,600928.SH,20200519,5.32
616,000100.SZ,20200519,5.09
617,600061.SH,20200518,12.06
618,000415.SZ,20200522,3.06
619,002294.SZ,20200522,18.6
620,600998.SH,20200522,17.2
621,601198.SH,20200522,10.28
622,002939.SZ,20200522,11.63
623,601288.SH,20200522,3.37
624,601328.SH,20200522,5.07
625,600015.SH,20200522,6.34
626,600030.SH,20200522,22.3
627,603501.SH,20200515,214.9
628,002007.SZ,20200521,40.72
629,300408.SZ,20200521,20.65
630,300433.SZ,20200521,16.73
631,000568.SZ,20200520,87.83
632,000596.SZ,20200520,154.65
633,601577.SH,20200520,7.76
634,601601.SH,20200520,29.14
635,601607.SH,20200520,17.95
636,601628.SH,20200520,27.15
637,601881.SH,20200520,9.98
638,002939.SZ,20200521,11.82
639,002958.SZ,20200520,4.47
640,300003.SZ,20200520,39.62
641,601288.SH,20200521,3.4
642,601328.SH,20200521,5.13
643,601997.SH,20200521,7.77
644,600196.SH,20200520,32.32
645,600276.SH,20200520,97.9
646,600369.SH,20200520,4.5
647,600109.SH,20200528,10.0
648,601166.SH,20200528,16.15
649,601229.SH,20200528,8.11
650,601236.SH,20200528,19.86
651,601318.SH,20200528,71.51
652,601901.SH,20200528,6.99
653,600519.SH,20200528,1344.0
654,600703.SH,20200528,23.5
655,600015.SH,20200529,6.37
656,601398.SH,20200529,5.12
657,000783.SZ,20200529,6.25
658,000166.SZ,20200526,4.44
659,601555.SH,20200526,7.55
660,002939.SZ,20200526,11.73
661,300136.SZ,20200526,40.16
662,002142.SZ,20200529,25.61
663,601009.SH,20200529,7.9
664,601229.SH,20200526,7.99
665,601236.SH,20200526,20.03
666,601318.SH,20200526,70.51
667,002252.SZ,20200526,8.22
668,002294.SZ,20200525,18.76
669,000895.SZ,20200526,41.88
670,002007.SZ,20200526,42.01
671,002044.SZ,20200526,12.28
672,601009.SH,20200513,7.69
673,601108.SH,20200513,9.66
674,002411.SZ,20200513,7.95
675,002415.SZ,20200513,32.05
676,002841.SZ,20200514,80.62
677,002916.SZ,20200514,179.29
678,600183.SH,20200514,32.35
679,601166.SH,20200508,16.37
680,601229.SH,20200508,8.13
681,601236.SH,20200508,21.3
682,601318.SH,20200508,72.97
683,601901.SH,20200508,7.24
684,002294.SZ,20200508,19.29
685,601577.SH,20200512,7.83
686,601601.SH,20200512,29.48
687,601607.SH,20200512,18.16
688,000728.SZ,20200514,7.95
689,002958.SZ,20200512,4.48
690,300003.SZ,20200512,38.95
691,002938.SZ,20200514,42.23
692,603160.SH,20200508,241.13
693,603288.SH,20200514,110.32
694,600061.SH,20200519,12.23
695,600183.SH,20200519,30.18
696,300015.SZ,20200519,48.75
697,300142.SZ,20200519,43.53
698,002236.SZ,20200519,16.68
699,002411.SZ,20200518,7.58
700,002415.SZ,20200518,29.9
701,601009.SH,20200518,7.65
702,600369.SH,20200515,4.49
703,000728.SZ,20200515,7.97
704,600109.SH,20200518,10.13
705,600332.SH,20200518,30.74
706,601998.SH,20200518,5.08
707,603156.SH,20200518,29.1
708,603501.SH,20200518,194.1
709,000423.SZ,20200518,33.22
710,000538.SZ,20200518,87.77
711,000725.SZ,20200518,3.8
712,000627.SZ,20200518,5.37
713,000661.SZ,20200518,662.0
714,600887.SH,20200522,27.89
715,002456.SZ,20200522,14.55
716,002475.SZ,20200522,44.55
717,600566.SH,20200522,21.02
718,600837.SH,20200521,12.22
719,002044.SZ,20200521,12.56
720,600390.SH,20200521,7.06
721,600519.SH,20200521,1366.1
722,600016.SH,20200520,5.8
723,002411.SZ,20200520,7.52
724,002415.SZ,20200520,30.03
725,601336.SH,20200515,44.86
726,601377.SH,20200515,5.93
727,601398.SH,20200515,5.09
728,601878.SH,20200515,9.94
729,300136.SZ,20200520,41.57
730,000166.SZ,20200520,4.48
731,002241.SZ,20200525,20.59
732,603259.SH,20200525,107.0
733,600332.SH,20200528,30.0
734,002001.SZ,20200528,24.96
735,000783.SZ,20200528,6.21
736,000858.SZ,20200528,146.16
737,000627.SZ,20200528,4.88
738,000661.SZ,20200528,649.93
739,000776.SZ,20200528,13.23
740,600809.SH,20200528,124.5
741,600816.SH,20200528,2.5
742,601138.SH,20200528,13.46
743,601211.SH,20200528,15.78
744,601319.SH,20200528,6.19
745,002958.SZ,20200528,4.41
746,300003.SZ,20200528,35.43
747,000725.SZ,20200529,3.71
748,000728.SZ,20200529,7.95
749,600276.SH,20200529,78.7
750,000728.SZ,20200526,7.94
751,601788.SH,20200526,10.91
752,601838.SH,20200526,7.84
753,601988.SH,20200526,3.43
754,600015.SH,20200525,6.32
755,600030.SH,20200525,22.21
756,002142.SZ,20200526,25.15
757,600109.SH,20200526,9.85
758,002294.SZ,20200526,19.35
759,002945.SZ,20200526,13.74
760,002456.SZ,20200525,14.31
761,002475.SZ,20200525,44.13
762,002236.SZ,20200526,15.56
763,600332.SH,20200526,30.49
764,002456.SZ,20200526,14.85
765,002475.SZ,20200526,46.0
766,601169.SH,20200513,4.92
767,601336.SH,20200513,45.54
768,601377.SH,20200513,5.98
769,601398.SH,20200513,5.13
770,600535.SH,20200514,14.56
771,603160.SH,20200514,234.0
772,000538.SZ,20200514,88.98
773,600566.SH,20200508,21.53
774,002456.SZ,20200508,15.79
775,002475.SZ,20200508,47.25
776,600816.SH,20200508,2.5
777,002008.SZ,20200514,32.2
778,002773.SZ,20200514,38.07
779,002422.SZ,20200514,20.74
780,000776.SZ,20200508,13.82
781,000415.SZ,20200508,2.86
782,000568.SZ,20200508,81.64
783,000596.SZ,20200508,140.24
784,000895.SZ,20200508,42.83
785,002008.SZ,20200519,31.95
786,002939.SZ,20200519,12.12
787,600566.SH,20200520,21.55
788,600015.SH,20200520,6.42
789,600030.SH,20200520,23.09
790,002673.SZ,20200519,8.22
791,600332.SH,20200519,31.37
792,002252.SZ,20200519,8.74
793,603986.SH,20200519,221.92
794,000001.SZ,20200518,13.2
795,002044.SZ,20200518,12.45
796,603986.SH,20200518,216.0
797,600809.SH,20200518,119.29
798,600816.SH,20200518,2.5
799,002001.SZ,20200518,26.11
800,600000.SH,20200518,10.32
801,600085.SH,20200518,25.18
802,000776.SZ,20200518,13.5
803,601688.SH,20200519,17.79
804,601998.SH,20200519,5.09
805,600919.SH,20200522,5.85
806,600926.SH,20200522,8.78
807,600958.SH,20200522,9.09
808,600016.SH,20200522,5.68
809,000963.SZ,20200521,22.43
810,600928.SH,20200521,5.32
811,002736.SZ,20200522,10.5
812,002001.SZ,20200522,25.0
813,002142.SZ,20200521,25.84
814,002236.SZ,20200521,16.21
815,300015.SZ,20200515,47.74
816,300142.SZ,20200515,42.65
817,000001.SZ,20200520,13.51
818,601398.SH,20200520,5.12
819,000100.SZ,20200520,5.16
820,600109.SH,20200515,10.06
821,000858.SZ,20200520,150.85
822,601688.SH,20200520,17.67
823,000963.SZ,20200520,22.41
824,601998.SH,20200520,5.1
825,600436.SH,20200528,143.81
826,600535.SH,20200528,14.56
827,000963.SZ,20200528,22.41
828,000423.SZ,20200525,35.44
829,000538.SZ,20200525,87.4
830,601688.SH,20200529,17.28
831,300003.SZ,20200529,34.93
832,601818.SH,20200529,3.81
833,600390.SH,20200525,6.61
834,600519.SH,20200525,1362.9
835,600705.SH,20200526,3.74
836,300122.SZ,20200526,84.77
837,300408.SZ,20200526,20.05
838,300433.SZ,20200526,16.79
839,601166.SH,20200529,16.1
840,002736.SZ,20200525,10.53
841,601162.SH,20200526,5.5
842,600061.SH,20200526,11.81
843,600183.SH,20200526,27.8
844,601555.SH,20200512,7.85
845,000725.SZ,20200514,3.86
846,601138.SH,20200508,14.44
847,601211.SH,20200508,16.68
